"","Up-regulated","Down-regulated"
"P0260-01-B33-U133Plus-2.CEL",-0.331150296638102,0.217470963184955
"P0265-01-B78-U133Plus-2.CEL",-0.302756725321728,0.272962787029939
"P0266-01-B79-U133Plus-2.CEL",0.409185101153337,-0.364734013460216
"P0270-01-B91-U133Plus-2.CEL",0.173924151180404,-0.152123097650471
"P0271-01-B95-U133Plus-2.CEL",-0.222170665367597,0.277772740293549
"P0272-01-B96-U133Plus-2.CEL",-0.189647330892272,0.185492250660658
"P0274-01-A993-U133Plus-2.CEL",-0.288185557409492,0.289298998733372
"P0276-01-B120-U133Plus-2.CEL",-0.371571367076802,0.307741613989907
"P0277-01-B123-U133Plus-2.CEL",-0.250947306316605,0.230262611557165
"P0278-01-B133-U133Plus-2.CEL",-0.18906661944674,0.19923891467614
"P0279-01-B132-U133Plus-2.CEL",0.257066507884955,-0.189431198448631
"P0280-01-B135-U133Plus-2.CEL",0.331052330241612,-0.324506372377044
"P0281-01-B136-U133Plus-2.CEL",-0.385934666229652,0.330699971783262
"P0283-01-B147-U133Plus-2.CEL",0.28575208913649,-0.28167514218485
"P0285-01-B127-U133Plus-2.CEL",-0.325967879846835,0.31163366229148
"P0286-01-B157-U133Plus-2.CEL",0.200640093382831,-0.210127604019897
"P0288-01-B169-U133Plus-2.CEL",-0.402295320025,0.344486487562982
"P0291-01-B172-U133Plus-2.CEL",-0.271573253435717,0.216506954411504
"P0296-01-B187-U133Plus-2.CEL",-0.222804588456088,0.200071450507021
"P0299-01-B208-U133Plus-2.CEL",-0.245927694143919,0.233938963989584
"P0301-01-B211-U133Plus-2.CEL",0.334268050899391,-0.289420624833024
"P0303-01-B218-U133Plus-2.CEL",0.240845806848472,-0.278793299030084
"P0307-01-B234-U133Plus-2.CEL",-0.220974254798723,0.285098773406907
"P0308-01-B235-U133Plus-2.CEL",0.400477852448669,-0.361635072251183
"P0313-01-B260-U133Plus-2.CEL",-0.266672081024269,0.236953364824301
"P0314-01-B267-U133Plus-2.CEL",-0.234970409796405,0.178577048691538
"P0324-01-B287-U133Plus-2.CEL",0.462752913088408,-0.399705938978045
"P0330-01-B300-U133Plus-2.CEL",-0.16537676579218,0.177299943306242
"P0332-01-B302-U133Plus-2.CEL",-0.39126173729254,0.302746357321804
"P0335-01-B312-U133Plus-2.CEL",-0.426361526461972,0.376989353794686
"P0340-01-B324-U133Plus-2.CEL",0.17742435922143,-0.185515482167035
"P0343-01-B333-U133Plus-2.CEL",-0.403092353648924,0.450504677997163
"P0347-01-B346-U133Plus-2.CEL",-0.326739524390695,0.271609521314106
"P0349-01-B347-U133Plus-2.CEL",0.241913743440003,-0.261274046637481
"P0352-01-B352-U133Plus-2.CEL",-0.270115633672526,0.239107134507929
"P0354-01-B361-U133Plus-2.CEL",-0.277832381174459,0.302136888325735
"P0355-01-B354-U133Plus-2.CEL",-0.395232333010649,0.403939556751553
"P0357-01-B359-U133Plus-2.CEL",0.13956305287794,-0.193314426860079
"P0364-01-B383-U133Plus-2.CEL",0.198474874837753,-0.168375963914704
"P0365-01-B379-U133Plus-2.CEL",-0.230864262576592,0.259363118105814
"P0366-01-B382-U133Plus-2.CEL",-0.352227983828441,0.259281331628323
"P0368-01-B385-U133Plus-2.CEL",-0.444413724958345,0.431455997564355
"P0371-01-B395-U133Plus-2.CEL",0.286246194438806,-0.321973879059906
"P0374-01-B397-U133Plus-2.CEL",-0.293029369442497,0.252215392595011
"P0381-01-B409-U133Plus-2.CEL",0.214496612757959,-0.219699971684699
"P0385-01-B374-U133Plus-2.CEL",0.385743255883563,-0.3780267034517
"P0387-01-B418-U133Plus-2.CEL",-0.234369644600311,0.147685732733192
"P0390-01-B423-U133Plus-2.CEL",-0.183449250721601,0.212192299501121
"P0391-01-B424-U133Plus-2.CEL",-0.249656341755924,0.316262008158968
"P0392-01-B427-U133Plus-2.CEL",-0.144059047310697,0.182596064835419
"P0393-01-B433-U133Plus-2.CEL",0.236983502781508,-0.172328864454807
"P0397-01-B440-U133Plus-2.CEL",0.183512447104571,-0.179091259294247
"P0399-01-B442-U133Plus-2.CEL",-0.348387515290804,0.281741500345423
"P0401-01-B444-U133Plus-2.CEL",-0.197801237494476,0.233766783182638
"P0405-01-B449-U133Plus-2.CEL",0.169548353868706,-0.163456507582801
"P0408-01-B457-U133Plus-2.CEL",-0.292440314560779,0.194957121551081
"P0415-01-B480-U133Plus-2.CEL",0.425543265862921,-0.365049567626917
